LATITUDE,LONGITUDE,LOCATION
40.593636,-73.797264,"(40.593636, -73.797264)"
40.674263,-73.80453,"(40.674263, -73.80453)"
40.70476,-73.96491,"(40.70476, -73.96491)"
40.569626,-74.190735,"(40.569626, -74.190735)"
40.698463,-73.960205,"(40.698463, -73.960205)"
40.658413,-73.9171,"(40.658413, -73.9171)"
40.76175,-73.96899,"(40.76175, -73.96899)"
40.736614,-73.9951,"(40.736614, -73.9951)"
,,
,,
40.62121,-74.12385,"(40.62121, -74.12385)"
40.873737,-73.90593,"(40.873737, -73.90593)"
40.66718,-73.95076,"(40.66718, -73.95076)"
40.754295,-73.93946,"(40.754295, -73.93946)"
40.588116,-73.97261,"(40.588116, -73.97261)"
40.854935,-73.85822,"(40.854935, -73.85822)"
40.662575,-73.93448,"(40.662575, -73.93448)"
40.7448,-73.953415,"(40.7448, -73.953415)"
40.79672,-73.97618,"(40.79672, -73.97618)"
40.752777,-73.70743,"(40.752777, -73.70743)"
40.638523,-73.92607,"(40.638523, -73.92607)"
40.637833,-74.08193,"(40.637833, -74.08193)"
40.797836,-73.96946,"(40.797836, -73.96946)"
40.734375,-73.87342,"(40.734375, -73.87342)"
40.699947,-73.736626,"(40.699947, -73.736626)"
40.75632,-73.999275,"(40.75632, -73.999275)"
40.69614,-73.81789,"(40.69614, -73.81789)"
40.631687,-73.9205,"(40.631687, -73.9205)"
40.88839,-73.84666,"(40.88839, -73.84666)"
40.844425,-73.8639,"(40.844425, -73.8639)"
40.833965,-73.8629,"(40.833965, -73.8629)"
40.705738,-73.944695,"(40.705738, -73.944695)"
40.637905,-73.8878,"(40.637905, -73.8878)"
40.635063,-73.94788,"(40.635063, -73.94788)"
40.804153,-73.91304,"(40.804153, -73.91304)"
40.676403,-73.96287,"(40.676403, -73.96287)"
40.829777,-73.85055,"(40.829777, -73.85055)"
40.613926,-74.030174,"(40.613926, -74.030174)"
40.635563,-73.89577,"(40.635563, -73.89577)"
40.675167,-73.825264,"(40.675167, -73.825264)"
40.761486,-73.96061,"(40.761486, -73.96061)"
40.712284,-73.964005,"(40.712284, -73.964005)"
40.70546,-73.7949,"(40.70546, -73.7949)"
40.74967,-73.99531,"(40.74967, -73.99531)"
40.833786,-73.94037,"(40.833786, -73.94037)"
40.67794,-73.8023,"(40.67794, -73.8023)"
40.637985,-74.0076,"(40.637985, -74.0076)"
,,
40.835037,-73.93979,"(40.835037, -73.93979)"
40.9046,-73.852936,"(40.9046, -73.852936)"
40.742508,-73.91788,"(40.742508, -73.91788)"
,,
,,
40.67046,-73.88788,"(40.67046, -73.88788)"
40.72224,-73.9863,"(40.72224, -73.9863)"
40.67639,-73.97189,"(40.67639, -73.97189)"
40.88893,-73.86579,"(40.88893, -73.86579)"
40.80118,-73.93975,"(40.80118, -73.93975)"
40.757668,-73.95915,"(40.757668, -73.95915)"
40.668896,-73.95339,"(40.668896, -73.95339)"
40.63654,-73.97707,"(40.63654, -73.97707)"
40.831055,-73.905846,"(40.831055, -73.905846)"
40.85868,-73.89922,"(40.85868, -73.89922)"
40.62466,-74.17856,"(40.62466, -74.17856)"
40.63947,-73.902756,"(40.63947, -73.902756)"
40.86173,-73.91182,"(40.86173, -73.91182)"
40.69538,-73.985115,"(40.69538, -73.985115)"
40.63063,-74.00923,"(40.63063, -74.00923)"
40.82707,-73.87075,"(40.82707, -73.87075)"
40.60548,-73.93922,"(40.60548, -73.93922)"
40.692593,-73.91551,"(40.692593, -73.91551)"
,,
40.680664,-73.902626,"(40.680664, -73.902626)"
40.645718,-73.95002,"(40.645718, -73.95002)"
40.68327,-73.95016,"(40.68327, -73.95016)"
40.84036,-73.91807,"(40.84036, -73.91807)"
,,
,,
40.577652,-73.96344,"(40.577652, -73.96344)"
40.730145,-73.99781,"(40.730145, -73.99781)"
40.67478,-73.806206,"(40.67478, -73.806206)"
40.624622,-73.97598,"(40.624622, -73.97598)"
40.67271,-73.97089,"(40.67271, -73.97089)"
40.7314,-73.926094,"(40.7314, -73.926094)"
40.632786,-74.13712,"(40.632786, -74.13712)"
40.596733,-74.07045,"(40.596733, -74.07045)"
40.617645,-73.92092,"(40.617645, -73.92092)"
,,
40.68651,-73.98378,"(40.68651, -73.98378)"
40.69831,-73.9498,"(40.69831, -73.9498)"
40.692455,-73.76814,"(40.692455, -73.76814)"
40.778805,-73.974075,"(40.778805, -73.974075)"
40.747894,-73.989174,"(40.747894, -73.989174)"
40.83578,-73.871445,"(40.83578, -73.871445)"
40.61763,-74.133575,"(40.61763, -74.133575)"
40.731407,-73.99698,"(40.731407, -73.99698)"
40.60784,-73.961975,"(40.60784, -73.961975)"
40.752563,-73.74328,"(40.752563, -73.74328)"
40.67848,-73.98232,"(40.67848, -73.98232)"
40.629475,-74.004166,"(40.629475, -74.004166)"
40.668797,-73.93113,"(40.668797, -73.93113)"
40.754707,-73.99164,"(40.754707, -73.99164)"
40.85713,-73.8808,"(40.85713, -73.8808)"
40.857418,-73.89996,"(40.857418, -73.89996)"
40.702972,-73.888054,"(40.702972, -73.888054)"
40.786366,-73.97598,"(40.786366, -73.97598)"
40.624474,-74.00668,"(40.624474, -74.00668)"
40.76532,-73.771904,"(40.76532, -73.771904)"
40.597683,-73.96686,"(40.597683, -73.96686)"
40.609768,-74.06969,"(40.609768, -74.06969)"
40.798286,-73.938705,"(40.798286, -73.938705)"
40.776764,-73.848015,"(40.776764, -73.848015)"
40.747498,-73.91309,"(40.747498, -73.91309)"
40.701637,-73.942276,"(40.701637, -73.942276)"
40.69349,-73.826546,"(40.69349, -73.826546)"
40.726463,-73.85943,"(40.726463, -73.85943)"
40.856434,-73.886826,"(40.856434, -73.886826)"
40.87151,-73.87057,"(40.87151, -73.87057)"
40.68686,-73.96758,"(40.68686, -73.96758)"
40.624763,-73.96518,"(40.624763, -73.96518)"
40.678417,-73.729225,"(40.678417, -73.729225)"
40.692596,-73.79078,"(40.692596, -73.79078)"
40.734486,-73.891754,"(40.734486, -73.891754)"
40.88399,-73.82641,"(40.88399, -73.82641)"
40.683872,-73.95998,"(40.683872, -73.95998)"
40.799484,-73.92929,"(40.799484, -73.92929)"
40.70839,-74.00482,"(40.70839, -74.00482)"
40.766502,-73.99418,"(40.766502, -73.99418)"
40.676304,-73.816284,"(40.676304, -73.816284)"
40.66447,-73.89593,"(40.66447, -73.89593)"
40.709835,-74.014885,"(40.709835, -74.014885)"
40.585342,-73.94157,"(40.585342, -73.94157)"
40.746395,-73.9856,"(40.746395, -73.9856)"
40.617004,-73.96912,"(40.617004, -73.96912)"
40.718662,-74.00615,"(40.718662, -74.00615)"
40.680664,-73.97028,"(40.680664, -73.97028)"
40.67392,-73.91012,"(40.67392, -73.91012)"
40.806835,-73.924355,"(40.806835, -73.924355)"
40.627735,-73.920105,"(40.627735, -73.920105)"
0,0,"(0.0, 0.0)"
40.661263,-73.955765,"(40.661263, -73.955765)"
40.844883,-73.907295,"(40.844883, -73.907295)"
40.76104,-73.88162,"(40.76104, -73.88162)"
40.669777,-73.9583,"(40.669777, -73.9583)"
40.839443,-73.90436,"(40.839443, -73.90436)"
40.75245,-73.94507,"(40.75245, -73.94507)"
40.687748,-73.980125,"(40.687748, -73.980125)"
40.87356,-73.81853,"(40.87356, -73.81853)"
40.8176,-73.90373,"(40.8176, -73.90373)"
40.638428,-73.91275,"(40.638428, -73.91275)"
40.813885,-73.95211,"(40.813885, -73.95211)"
,,
40.77733,-73.95456,"(40.77733, -73.95456)"
40.713135,-74.00407,"(40.713135, -74.00407)"
40.775486,-73.98217,"(40.775486, -73.98217)"
40.591137,-73.97752,"(40.591137, -73.97752)"
40.865536,-73.92728,"(40.865536, -73.92728)"
40.76551,-73.97795,"(40.76551, -73.97795)"
40.63311,-73.97217,"(40.63311, -73.97217)"
40.823772,-73.87245,"(40.823772, -73.87245)"
40.84497,-73.90247,"(40.84497, -73.90247)"
,,
40.675507,-74.00075,"(40.675507, -74.00075)"
40.609535,-73.75372,"(40.609535, -73.75372)"
40.730446,-74.00431,"(40.730446, -74.00431)"
40.721645,-73.8026,"(40.721645, -73.8026)"
40.853477,-73.82622,"(40.853477, -73.82622)"
40.66901,-73.80265,"(40.66901, -73.80265)"
40.629475,-74.1123,"(40.629475, -74.1123)"
40.6843,-73.99724,"(40.6843, -73.99724)"
40.767612,-73.950005,"(40.767612, -73.950005)"
40.80066,-73.9544,"(40.80066, -73.9544)"
40.87645,-73.848175,"(40.87645, -73.848175)"
40.737865,-73.876144,"(40.737865, -73.876144)"
40.764103,-73.93277,"(40.764103, -73.93277)"
40.66735,-73.76994,"(40.66735, -73.76994)"
40.824265,-73.95642,"(40.824265, -73.95642)"
40.702045,-73.9156,"(40.702045, -73.9156)"
40.85306,-73.931,"(40.85306, -73.931)"
0,0,"(0.0, 0.0)"
40.697315,-73.932274,"(40.697315, -73.932274)"
40.679344,-73.859535,"(40.679344, -73.859535)"
40.708923,-73.81877,"(40.708923, -73.81877)"
40.60203,-74.09572,"(40.60203, -74.09572)"
40.693787,-73.81173,"(40.693787, -73.81173)"
40.826767,-73.888855,"(40.826767, -73.888855)"
40.56692,-74.116234,"(40.56692, -74.116234)"
,,
40.623913,-74.00726,"(40.623913, -74.00726)"
40.592422,-73.99508,"(40.592422, -73.99508)"
40.6783,-73.88988,"(40.6783, -73.88988)"
40.748962,-73.89176,"(40.748962, -73.89176)"
40.631508,-73.90506,"(40.631508, -73.90506)"
40.677322,-73.790955,"(40.677322, -73.790955)"
40.57666,-73.965836,"(40.57666, -73.965836)"
40.804585,-73.94782,"(40.804585, -73.94782)"
40.832916,-73.92939,"(40.832916, -73.92939)"
40.722515,-73.73332,"(40.722515, -73.73332)"
40.692127,-73.83484,"(40.692127, -73.83484)"
40.807537,-73.8798,"(40.807537, -73.8798)"
40.878128,-73.86944,"(40.878128, -73.86944)"
40.75777,-73.854164,"(40.75777, -73.854164)"
40.6569,-73.907486,"(40.6569, -73.907486)"
40.845024,-73.92632,"(40.845024, -73.92632)"
40.817795,-73.89319,"(40.817795, -73.89319)"
40.81915,-73.93062,"(40.81915, -73.93062)"
40.591778,-74.12734,"(40.591778, -74.12734)"
40.753994,-73.94244,"(40.753994, -73.94244)"
40.724846,-73.999,"(40.724846, -73.999)"
,,
40.822933,-73.93813,"(40.822933, -73.93813)"
40.680477,-73.951164,"(40.680477, -73.951164)"
40.648243,-73.929,"(40.648243, -73.929)"
40.64366,-73.90067,"(40.64366, -73.90067)"
40.6843,-73.94121,"(40.6843, -73.94121)"
40.602425,-74.091354,"(40.602425, -74.091354)"
40.662037,-73.95077,"(40.662037, -73.95077)"
40.68164,-73.98568,"(40.68164, -73.98568)"
40.781315,-73.94614,"(40.781315, -73.94614)"
40.74498,-73.89325,"(40.74498, -73.89325)"
40.6117,-74.13918,"(40.6117, -74.13918)"
40.616295,-73.92991,"(40.616295, -73.92991)"
40.78322,-73.84586,"(40.78322, -73.84586)"
40.87122,-73.83709,"(40.87122, -73.83709)"
40.680077,-73.852684,"(40.680077, -73.852684)"
40.843384,-73.88987,"(40.843384, -73.88987)"
40.680023,-73.794624,"(40.680023, -73.794624)"
40.72937,-73.955444,"(40.72937, -73.955444)"
40.683754,-73.88565,"(40.683754, -73.88565)"
40.70413,-73.76984,"(40.70413, -73.76984)"
40.609985,-73.96239,"(40.609985, -73.96239)"
40.673676,-73.86576,"(40.673676, -73.86576)"
40.751442,-73.97606,"(40.751442, -73.97606)"
40.86514,-73.801544,"(40.86514, -73.801544)"
40.72218,-73.84406,"(40.72218, -73.84406)"
40.797924,-73.9296,"(40.797924, -73.9296)"
40.626373,-73.99754,"(40.626373, -73.99754)"
40.883133,-73.882095,"(40.883133, -73.882095)"
40.90222,-73.85589,"(40.90222, -73.85589)"
40.72717,-73.78739,"(40.72717, -73.78739)"
40.600792,-73.76711,"(40.600792, -73.76711)"
40.84434,-73.91475,"(40.84434, -73.91475)"
40.67922,-73.90405,"(40.67922, -73.90405)"
40.802982,-73.93815,"(40.802982, -73.93815)"
40.731544,-73.955315,"(40.731544, -73.955315)"
40.683323,-73.80648,"(40.683323, -73.80648)"
40.732006,-73.95795,"(40.732006, -73.95795)"
40.6544,-73.92044,"(40.6544, -73.92044)"
40.589592,-73.786385,"(40.589592, -73.786385)"
40.736164,-73.97891,"(40.736164, -73.97891)"
40.59723,-73.76237,"(40.59723, -73.76237)"
40.67393,-73.999954,"(40.67393, -73.999954)"
40.840153,-73.88572,"(40.840153, -73.88572)"
40.599503,-74.067116,"(40.599503, -74.067116)"
40.822456,-73.868065,"(40.822456, -73.868065)"
40.59841,-73.97592,"(40.59841, -73.97592)"
40.697083,-73.85476,"(40.697083, -73.85476)"
40.896385,-73.87246,"(40.896385, -73.87246)"
40.695637,-73.80372,"(40.695637, -73.80372)"
40.69982,-73.996254,"(40.69982, -73.996254)"
40.590313,-74.09794,"(40.590313, -74.09794)"
40.787544,-73.82394,"(40.787544, -73.82394)"
40.67539,-73.88113,"(40.67539, -73.88113)"
40.634007,-74.07516,"(40.634007, -74.07516)"
40.73844,-73.88628,"(40.73844, -73.88628)"
40.60855,-74.13216,"(40.60855, -74.13216)"
40.58573,-74.16865,"(40.58573, -74.16865)"
40.599907,-73.94664,"(40.599907, -73.94664)"
40.806713,-73.93782,"(40.806713, -73.93782)"
40.748318,-73.87742,"(40.748318, -73.87742)"
40.68651,-73.76815,"(40.68651, -73.76815)"
,,
40.624203,-74.177124,"(40.624203, -74.177124)"
40.744526,-73.77161,"(40.744526, -73.77161)"
40.576965,-74.16974,"(40.576965, -74.16974)"
40.8502,-73.8302,"(40.8502, -73.8302)"
40.715477,-73.998085,"(40.715477, -73.998085)"
40.611477,-73.94883,"(40.611477, -73.94883)"
40.681515,-73.90412,"(40.681515, -73.90412)"
40.61578,-73.99995,"(40.61578, -73.99995)"
40.82207,-73.94993,"(40.82207, -73.94993)"
40.74606,-73.85583,"(40.74606, -73.85583)"
40.72013,-73.79038,"(40.72013, -73.79038)"
40.688435,-73.78765,"(40.688435, -73.78765)"
40.84964,-73.89661,"(40.84964, -73.89661)"
40.68329,-73.85491,"(40.68329, -73.85491)"
40.812912,-73.95364,"(40.812912, -73.95364)"
40.6639,-73.7804,"(40.6639, -73.7804)"
40.59312,-73.772705,"(40.59312, -73.772705)"
,,
40.596687,-73.74422,"(40.596687, -73.74422)"
,,
40.673107,-73.99959,"(40.673107, -73.99959)"
40.63874,-73.8952,"(40.63874, -73.8952)"
40.675255,-73.73207,"(40.675255, -73.73207)"
40.846313,-73.92385,"(40.846313, -73.92385)"
40.608364,-73.95727,"(40.608364, -73.95727)"
,,
40.682724,-73.88539,"(40.682724, -73.88539)"
40.80789,-73.852844,"(40.80789, -73.852844)"
40.607754,-74.13205,"(40.607754, -74.13205)"
,,
40.708324,-73.84314,"(40.708324, -73.84314)"
40.79194,-73.95281,"(40.79194, -73.95281)"
40.718792,-73.98902,"(40.718792, -73.98902)"
40.86463,-73.892136,"(40.86463, -73.892136)"
40.67856,-73.889015,"(40.67856, -73.889015)"
40.721474,-73.98383,"(40.721474, -73.98383)"
40.79184,-73.93556,"(40.79184, -73.93556)"
40.78076,-73.825424,"(40.78076, -73.825424)"
40.7359,-73.91338,"(40.7359, -73.91338)"
,,
40.710697,-73.984634,"(40.710697, -73.984634)"
40.760777,-73.95702,"(40.760777, -73.95702)"
40.81358,-73.89385,"(40.81358, -73.89385)"
40.575302,-73.98453,"(40.575302, -73.98453)"
40.66843,-73.91919,"(40.66843, -73.91919)"
40.81701,-73.9595,"(40.81701, -73.9595)"
40.85755,-73.882835,"(40.85755, -73.882835)"
40.89711,-73.88008,"(40.89711, -73.88008)"
40.685795,-73.911644,"(40.685795, -73.911644)"
40.69305,-73.799446,"(40.69305, -73.799446)"
40.609535,-73.75372,"(40.609535, -73.75372)"
40.720627,-74.00522,"(40.720627, -74.00522)"
40.763496,-73.87814,"(40.763496, -73.87814)"
40.686646,-73.849075,"(40.686646, -73.849075)"
40.579445,-73.9544,"(40.579445, -73.9544)"
40.762966,-73.973976,"(40.762966, -73.973976)"
40.76555,-73.83911,"(40.76555, -73.83911)"
40.779602,-73.95553,"(40.779602, -73.95553)"
40.553192,-74.164345,"(40.553192, -74.164345)"
40.836094,-73.883995,"(40.836094, -73.883995)"
40.59692,-73.94122,"(40.59692, -73.94122)"
40.62318,-73.98611,"(40.62318, -73.98611)"
40.67562,-73.88826,"(40.67562, -73.88826)"
40.80609,-73.95414,"(40.80609, -73.95414)"
40.87739,-73.8665,"(40.87739, -73.8665)"
40.689133,-73.951324,"(40.689133, -73.951324)"
40.83604,-73.92222,"(40.83604, -73.92222)"
40.76649,-73.95696,"(40.76649, -73.95696)"
40.731613,-73.9545,"(40.731613, -73.9545)"
40.708324,-74.00311,"(40.708324, -74.00311)"
40.65375,-73.931274,"(40.65375, -73.931274)"
,,
40.60675,-73.756645,"(40.60675, -73.756645)"
,,
40.743534,-73.93951,"(40.743534, -73.93951)"
40.678364,-73.77949,"(40.678364, -73.77949)"
40.724274,-74.01136,"(40.724274, -74.01136)"
,,
40.8188,-73.956024,"(40.8188, -73.956024)"
40.69558,-73.788704,"(40.69558, -73.788704)"
40.80484,-73.912796,"(40.80484, -73.912796)"
40.658466,-73.96049,"(40.658466, -73.96049)"
40.868164,-73.90054,"(40.868164, -73.90054)"
40.66169,-73.96143,"(40.66169, -73.96143)"
40.87037,-73.87052,"(40.87037, -73.87052)"
40.69674,-73.76292,"(40.69674, -73.76292)"
40.65958,-73.89247,"(40.65958, -73.89247)"
40.83232,-73.87395,"(40.83232, -73.87395)"
40.708534,-73.914925,"(40.708534, -73.914925)"
40.777496,-73.90784,"(40.777496, -73.90784)"
40.83406,-73.944885,"(40.83406, -73.944885)"
40.66615,-73.80575,"(40.66615, -73.80575)"
,,
40.82324,-73.938835,"(40.82324, -73.938835)"
40.6974,-73.80952,"(40.6974, -73.80952)"
,,
40.67897,-73.75985,"(40.67897, -73.75985)"
40.590313,-74.09794,"(40.590313, -74.09794)"
40.654343,-73.864204,"(40.654343, -73.864204)"
40.62782,-74.12126,"(40.62782, -74.12126)"
40.592037,-74.15436,"(40.592037, -74.15436)"
40.79293,-73.950005,"(40.79293, -73.950005)"
40.8452,-73.916885,"(40.8452, -73.916885)"
40.72609,-73.830154,"(40.72609, -73.830154)"
40.76092,-73.96704,"(40.76092, -73.96704)"
40.69754,-73.98312,"(40.69754, -73.98312)"
,,
40.843464,-73.836,"(40.843464, -73.836)"
40.692547,-73.990974,"(40.692547, -73.990974)"
40.626457,-73.918,"(40.626457, -73.918)"
40.526894,-74.16728,"(40.526894, -74.16728)"
40.840775,-73.87246,"(40.840775, -73.87246)"
,,
40.694035,-73.72679,"(40.694035, -73.72679)"
,,
40.857365,-73.84657,"(40.857365, -73.84657)"
40.698807,-73.91837,"(40.698807, -73.91837)"
40.71402,-73.74827,"(40.71402, -73.74827)"
40.815,-73.89402,"(40.815, -73.89402)"
40.55079,-74.20098,"(40.55079, -74.20098)"
40.655903,-73.89817,"(40.655903, -73.89817)"
40.890076,-73.819855,"(40.890076, -73.819855)"
40.650402,-73.89422,"(40.650402, -73.89422)"
40.79335,-73.97275,"(40.79335, -73.97275)"
40.72538,-74.00011,"(40.72538, -74.00011)"
40.75184,-73.90358,"(40.75184, -73.90358)"
40.755516,-73.961105,"(40.755516, -73.961105)"
40.649788,-73.9622,"(40.649788, -73.9622)"
40.686928,-73.920815,"(40.686928, -73.920815)"
40.712963,-73.93647,"(40.712963, -73.93647)"
40.694294,-73.74868,"(40.694294, -73.74868)"
40.801285,-73.95394,"(40.801285, -73.95394)"
40.633976,-74.02211,"(40.633976, -74.02211)"
40.670296,-73.997604,"(40.670296, -73.997604)"
40.66423,-73.919106,"(40.66423, -73.919106)"
40.817696,-73.922615,"(40.817696, -73.922615)"
40.668495,-73.925606,"(40.668495, -73.925606)"
40.662476,-73.768326,"(40.662476, -73.768326)"
,,
40.841087,-73.86447,"(40.841087, -73.86447)"
40.70955,-73.95887,"(40.70955, -73.95887)"
40.733376,-73.86665,"(40.733376, -73.86665)"
40.700356,-73.95732,"(40.700356, -73.95732)"
40.83801,-73.87329,"(40.83801, -73.87329)"
40.66584,-73.75551,"(40.66584, -73.75551)"
,,
40.761436,-73.76995,"(40.761436, -73.76995)"
40.74958,-73.86541,"(40.74958, -73.86541)"
40.73197,-73.78651,"(40.73197, -73.78651)"
40.76249,-73.839584,"(40.76249, -73.839584)"
40.668507,-73.779625,"(40.668507, -73.779625)"
40.638268,-73.93187,"(40.638268, -73.93187)"
40.696735,-73.93481,"(40.696735, -73.93481)"
40.870823,-73.8721,"(40.870823, -73.8721)"
40.574867,-74.00069,"(40.574867, -74.00069)"
40.866577,-73.8722,"(40.866577, -73.8722)"
40.775414,-73.91984,"(40.775414, -73.91984)"
40.84744,-73.89968,"(40.84744, -73.89968)"
40.542908,-74.15579,"(40.542908, -74.15579)"
40.78468,-73.80911,"(40.78468, -73.80911)"
40.632416,-73.94724,"(40.632416, -73.94724)"
40.714207,-73.92817,"(40.714207, -73.92817)"
40.727913,-73.873245,"(40.727913, -73.873245)"
40.854485,-73.854645,"(40.854485, -73.854645)"
40.698986,-73.91671,"(40.698986, -73.91671)"
40.841717,-73.94435,"(40.841717, -73.94435)"
40.861687,-73.82435,"(40.861687, -73.82435)"
40.691822,-73.92223,"(40.691822, -73.92223)"
40.856014,-73.91213,"(40.856014, -73.91213)"
40.83383,-73.921234,"(40.83383, -73.921234)"
40.68781,-73.9237,"(40.68781, -73.9237)"
40.642044,-73.98124,"(40.642044, -73.98124)"
40.69814,-73.89111,"(40.69814, -73.89111)"
40.64664,-73.9246,"(40.64664, -73.9246)"
40.703217,-73.73427,"(40.703217, -73.73427)"
40.680897,-73.95118,"(40.680897, -73.95118)"
40.760822,-73.99832,"(40.760822, -73.99832)"
40.74608,-73.974945,"(40.74608, -73.974945)"
40.626293,-74.01572,"(40.626293, -74.01572)"
40.767967,-73.96822,"(40.767967, -73.96822)"
40.673634,-73.89294,"(40.673634, -73.89294)"
40.579212,-73.976265,"(40.579212, -73.976265)"
40.57365,-74.11252,"(40.57365, -74.11252)"
40.73632,-73.85631,"(40.73632, -73.85631)"
40.619396,-73.969574,"(40.619396, -73.969574)"
40.820263,-73.92976,"(40.820263, -73.92976)"
40.601864,-74.00232,"(40.601864, -74.00232)"
40.810318,-73.943634,"(40.810318, -73.943634)"
40.666306,-73.79171,"(40.666306, -73.79171)"
40.708805,-73.92577,"(40.708805, -73.92577)"
40.826424,-73.85868,"(40.826424, -73.85868)"
40.63174,-73.96793,"(40.63174, -73.96793)"
0,0,"(0.0, 0.0)"
40.727146,-73.954735,"(40.727146, -73.954735)"
40.67253,-73.798386,"(40.67253, -73.798386)"
40.702335,-73.89073,"(40.702335, -73.89073)"
40.587894,-73.95504,"(40.587894, -73.95504)"
40.65047,-73.917366,"(40.65047, -73.917366)"
40.836555,-73.94306,"(40.836555, -73.94306)"
40.870056,-73.83222,"(40.870056, -73.83222)"
40.579372,-74.16948,"(40.579372, -74.16948)"
40.805138,-73.945244,"(40.805138, -73.945244)"
40.85968,-73.90427,"(40.85968, -73.90427)"
40.605595,-73.98404,"(40.605595, -73.98404)"
40.819214,-73.84662,"(40.819214, -73.84662)"
40.827972,-73.88707,"(40.827972, -73.88707)"
40.66496,-73.82226,"(40.66496, -73.82226)"
40.719177,-73.79223,"(40.719177, -73.79223)"
40.748825,-73.96984,"(40.748825, -73.96984)"
40.733597,-73.91062,"(40.733597, -73.91062)"
40.54048,-74.153404,"(40.54048, -74.153404)"
40.738403,-73.93864,"(40.738403, -73.93864)"
40.68039,-73.94956,"(40.68039, -73.94956)"
40.817627,-73.92366,"(40.817627, -73.92366)"
40.751446,-74.001434,"(40.751446, -74.001434)"
40.86418,-73.90119,"(40.86418, -73.90119)"
40.76161,-73.97076,"(40.76161, -73.97076)"
40.689648,-73.9184,"(40.689648, -73.9184)"
40.741634,-73.88266,"(40.741634, -73.88266)"
40.596977,-73.97324,"(40.596977, -73.97324)"
40.63864,-74.02245,"(40.63864, -74.02245)"
40.565254,-74.1301,"(40.565254, -74.1301)"
40.655895,-73.898224,"(40.655895, -73.898224)"
40.68821,-73.96583,"(40.68821, -73.96583)"
40.71649,-73.98484,"(40.71649, -73.98484)"
,,
,,
40.876785,-73.87446,"(40.876785, -73.87446)"
40.86367,-73.86741,"(40.86367, -73.86741)"
40.835827,-73.89068,"(40.835827, -73.89068)"
40.793396,-73.94043,"(40.793396, -73.94043)"
40.84827,-73.88312,"(40.84827, -73.88312)"
